date,CO2(tCO2),NSM,Load_Type
01/01/2018 00:15,0,900,Light_Load
01/01/2018 00:30,0,1800,Light_Load
01/01/2018 00:45,0,2700,Light_Load
01/01/2018 01:00,0,3600,Light_Load
01/01/2018 01:15,0,4500,Light_Load
01/01/2018 01:30,0,5400,Light_Load
01/01/2018 01:45,0,6300,Light_Load
01/01/2018 02:00,0,7200,Light_Load
01/01/2018 02:15,0,8100,Light_Load
01/01/2018 02:30,0,9000,Light_Load
01/01/2018 02:45,0,9900,Light_Load
01/01/2018 03:00,0,10800,Light_Load
01/01/2018 03:15,0,11700,Light_Load
01/01/2018 03:30,0,12600,Light_Load
01/01/2018 03:45,0,13500,Light_Load
01/01/2018 04:00,0,14400,Light_Load
01/01/2018 04:15,0,15300,Light_Load
01/01/2018 04:30,0,16200,Light_Load
01/01/2018 04:45,0,17100,Light_Load
01/01/2018 05:00,0,18000,Light_Load
01/01/2018 05:15,0,18900,Light_Load
01/01/2018 05:30,0,19800,Light_Load
01/01/2018 05:45,0,20700,Light_Load
01/01/2018 06:00,0,21600,Light_Load
01/01/2018 06:15,0,22500,Light_Load
01/01/2018 06:30,0,23400,Light_Load
01/01/2018 06:45,0,24300,Light_Load
01/01/2018 07:00,0,25200,Light_Load
01/01/2018 07:15,0,26100,Light_Load
01/01/2018 07:30,0,27000,Light_Load
01/01/2018 07:45,0,27900,Light_Load
01/01/2018 08:00,0,28800,Light_Load
01/01/2018 08:15,0,29700,Light_Load
01/01/2018 08:30,0,30600,Light_Load
01/01/2018 08:45,0,31500,Light_Load
01/01/2018 09:00,0,32400,Light_Load
01/01/2018 09:15,0,33300,Light_Load
01/01/2018 09:30,0,34200,Light_Load
01/01/2018 09:45,0,35100,Light_Load
01/01/2018 10:00,0,36000,Light_Load
01/01/2018 10:15,0,36900,Light_Load
01/01/2018 10:30,0,37800,Light_Load
01/01/2018 10:45,0,38700,Light_Load
01/01/2018 11:00,0,39600,Light_Load
01/01/2018 11:15,0,40500,Light_Load
01/01/2018 11:30,0,41400,Light_Load
01/01/2018 11:45,0,42300,Light_Load
01/01/2018 12:00,0,43200,Light_Load
01/01/2018 12:15,0,44100,Light_Load
01/01/2018 12:30,0,45000,Light_Load
01/01/2018 12:45,0,45900,Light_Load
01/01/2018 13:00,0,46800,Light_Load
01/01/2018 13:15,0,47700,Light_Load
01/01/2018 13:30,0,48600,Light_Load
01/01/2018 13:45,0,49500,Light_Load
01/01/2018 14:00,0,50400,Light_Load
01/01/2018 14:15,0,51300,Light_Load
01/01/2018 14:30,0,52200,Light_Load
01/01/2018 14:45,0,53100,Light_Load
01/01/2018 15:00,0,54000,Light_Load
01/01/2018 15:15,0,54900,Light_Load
01/01/2018 15:30,0,55800,Light_Load
01/01/2018 15:45,0,56700,Light_Load
01/01/2018 16:00,0,57600,Light_Load
01/01/2018 16:15,0,58500,Light_Load
01/01/2018 16:30,0,59400,Light_Load
01/01/2018 16:45,0,60300,Light_Load
01/01/2018 17:00,0,61200,Light_Load
01/01/2018 17:15,0,62100,Light_Load
01/01/2018 17:30,0,63000,Light_Load
01/01/2018 17:45,0,63900,Light_Load
01/01/2018 18:00,0,64800,Light_Load
01/01/2018 18:15,0,65700,Light_Load
01/01/2018 18:30,0,66600,Light_Load
01/01/2018 18:45,0,67500,Light_Load
01/01/2018 19:00,0,68400,Light_Load
01/01/2018 19:15,0,69300,Light_Load
